,0,1,2,3
59,55.50500107,0.00515,4310.67968,41.13000107
60,30.71999931,0.00489,12331.28852,42.06000137
61,27.29999924,0.00498,10921.68658,54.36999893
62,43.49000168,0.00466,21978.5411,30.79000092
63,46.68500137,0.00678,19464.60135,51.63999939
64,35.83000183,0.00132,17515.15145,24.10000038
65,44.91999817,0.00373,18335.12039,30.40999985
66,29.93499947,0.00505,11883.16754,38.77999878
67,44.59999847,0.00579,15341.96933,42.11999893
68,33.61500168,0.00473,9915.433686,28.13999939
69,48.15999985,0.00537,10893.85498,36.36000061
70,28.59000015,0.00272,14860.29329,22.5
71,50.54999924,0.00489,17069.53037,36.54999924
72,47.08499908,0.00255,3670.588169,41.77000046
73,24.03000069,0.00621,3020.933996,41.09999847
74,74.625,0.00239,4983.263316,44.13999939
75,30.59499931,0.00393,27905.85148,43.20999908
76,38.27999878,0.00128,39640.6272,24.17000008
77,19.09499931,0.00314,27484.07649,30.70999908
78,39.40499878,0.00516,24362.40364,42.27999878
79,38.77500153,0.0031,20219.35556,39.40999985
80,14.13000011,0.00081,69185.18611,21.62999916
81,29.26499939,0.00341,32700.87957,39.34999847
82,28.29999924,0.00247,25186.23416,30.62999916
83,23.81500053,0.00327,27207.9516,27.79000092
84,33.02000046,0.00364,24260.98764,32.54000092
85,27.64500046,0.00096,84812.49999,18.81999969
86,28.50499916,0.00353,30113.31556,35.00999832
87,34.36999893,0.00218,10440.36676,39.40000153
88,23.625,0.00448,13502.23246,41.86000061
89,41.04999924,0.00235,10480.85113,40.25999832
90,26.22500038,0.00509,20394.89085,44.93999863
91,28.07999992,0.00181,19232.04557,39.47000122
92,36.73500061,0.00428,22102.8023,31.70000076
93,43.75999832,0.00457,17971.55233,53.20999908
94,49.56499863,0.00217,20557.60325,37.81999969
95,23.20000076,0.00483,18993.78868,30.96999931
96,32.33499908,0.00402,18194.02979,40.54999924
97,33.64500046,0.00454,22052.86423,42.24000168
98,24.10499954,0.0031,18196.7747,25.02000046
99,41.54499817,0.00428,16401.86764,36.88999939
100,24.22999954,0.00214,19710.27955,23.84000015
101,42.34999847,0.00287,22177.70176,39.36000061
102,40.06000137,0.00564,5085.106557,39.59000015
